engine_size_l,fuel_type,annual_mileage_km,vehicle_age_years,driving_style,road_type,emission_standard,maintenance_status,traffic_exposure,vehicle_category,co2_emissions_gkm
1.0402845393291327,Diesel,21051.170788531963,2.0,Normal,Urban,Euro 5,Fair,High,SUV,102.29380650917133
2.099161057687199,LPG,29394.763192478025,7.0,Eco,Mixed,Euro 6,Poor,High,Sedan,165.06620249644084
1.4375997018413358,LPG,39914.187758843436,3.0,Eco,Highway,Euro 4,,Low,SUV,273.64743738682495
3.6392833707735788,Diesel,16336.686079712066,13.0,Normal,,Euro 4,Excellent,High,Truck,295.7174516835008
2.276299889282905,Diesel,22993.04062077458,1.0,Eco,Mixed,Euro 4,Excellent,Medium,Sedan,166.41596856210617
4.068717313614647,Diesel,35788.82466274279,1.0,Normal,Mixed,Euro 5,Good,Low,Hatchback,275.01160531740254
1.8276647493844678,CNG,17434.352632006674,5.0,Normal,Highway,Euro 5,Poor,Low,Sedan,192.12397157321323
4.600939429728438,Hybrid,8824.154480680003,7.0,Normal,Highway,Euro 5,Fair,High,Truck,237.74330828606713
3.0919260604233303,Hybrid,38212.75562505264,,Normal,Highway,Euro 4,Fair,Medium,Truck,89.98171290024109
1.4580247858759257,LPG,22095.428234972504,3.0,Eco,Highway,Euro 6,Excellent,,,202.60863383648513
2.603380942613916,LPG,22597.42987701901,1.0,Eco,Highway,Euro 6,Good,Medium,Truck,95.43562596641789
1.8270420962790466,LPG,26742.005061146374,8.0,Normal,Urban,Euro 5,Fair,High,SUV,139.09595056063586
1.7987417046727168,Petrol,5123.781829612862,3.0,Normal,Urban,Euro 6,Excellent,High,Truck,204.6991516911093
3.0254789506088358,LPG,37589.59114490972,8.0,Normal,Urban,Euro 4,Fair,Medium,SUV,257.57602861276973
3.6875680625454903,Diesel,17650.78796710896,4.0,,Mixed,Euro 5,Fair,High,Hatchback,203.39660163686034
4.646472822013713,LPG,18892.615183452202,13.0,Aggressive,,Euro 5,Fair,Medium,SUV,285.96213904534625
3.0086480430546136,Diesel,11093.823663663225,11.0,Normal,Highway,Euro 4,Excellent,High,SUV,258.2731516666838
4.863355100233321,CNG,18235.306465236135,14.0,Normal,Highway,Euro 5,Good,Low,Hatchback,114.37283214312258
4.766539408293475,Petrol,33138.02357716182,11.0,Aggressive,Urban,Euro 4,Poor,Low,SUV,165.57086683814623
4.460250119937442,Petrol,32999.708539443716,10.0,Aggressive,Highway,Euro 5,Good,High,SUV,227.06679400749135
2.9999090598496743,Hybrid,37752.88943134085,10.0,Normal,Mixed,Euro 6,Fair,High,Hatchback,286.44932695404384
1.5636157747519341,CNG,19113.031543827852,13.0,Normal,Highway,Euro 5,Good,Medium,Truck,297.2974911238276
1.8716178792615397,Diesel,29805.252631200452,6.0,Eco,Urban,Euro 5,Fair,Low,Sedan,247.9010163518176
3.5906800108479024,CNG,22753.3144322645,11.0,Normal,,Euro 5,Excellent,Medium,SUV,206.22924722746006
2.6870199211367845,Petrol,33140.79763316958,4.0,Aggressive,Mixed,Euro 3,Excellent,High,Truck,246.45413174235821
1.5872065270159856,Diesel,29938.97031965489,14.0,Normal,Urban,Euro 6,Excellent,,Sedan,140.1120122820685
2.9159757345572417,CNG,17876.60238501965,1.0,Aggressive,Highway,Euro 4,Fair,Medium,Hatchback,142.3926659971192
1.0697221820081837,Petrol,16783.584198879238,5.0,Normal,Mixed,Euro 3,Good,High,SUV,223.9568561557111
3.935581483598373,Diesel,13835.486205978865,6.0,Aggressive,Urban,Euro 6,Poor,Low,SUV,271.8038268079803
1.2943251779587635,Diesel,25178.05266710232,13.0,Normal,Urban,Euro 5,Poor,Medium,Hatchback,293.3580876187978
3.516454479648476,Petrol,38734.49980578508,14.0,Eco,,,Excellent,High,SUV,155.09361218286801
4.172041230502398,Diesel,12002.33581661481,10.0,Normal,Highway,Euro 4,Poor,Medium,Sedan,
1.530575497815862,Petrol,8333.835921651382,12.0,Normal,Highway,Euro 4,Fair,High,Sedan,267.3367771632486
3.07455476266405,LPG,9179.022472670977,5.0,Eco,Highway,Euro 6,Good,High,Hatchback,217.0981134669064
4.1162700574378785,LPG,32408.45366875525,12.0,Aggressive,Urban,Euro 6,Poor,High,SUV,156.47021409054784
2.0425338190280056,Diesel,17253.66814995973,13.0,Normal,Urban,Euro 4,Poor,Low,Truck,216.19948436023623
1.6516663720064764,Diesel,12852.83896923329,2.0,Normal,Highway,Euro 6,Good,Low,SUV,208.5787589485328
2.3472764438698275,Petrol,17349.544143072504,9.0,Normal,Urban,Euro 4,Poor,High,Hatchback,213.43561127522798
3.218796706333263,Diesel,27586.578449033263,7.0,Eco,Urban,Euro 5,Good,Low,Truck,216.23724703329873
3.301118379419,Hybrid,24137.54936898993,2.0,Aggressive,,Euro 4,Fair,Medium,Sedan,266.35280199177294
1.523505333830748,,31025.62922824291,,,Highway,,Fair,Low,Sedan,117.41793291881268
2.8302753906958866,Diesel,16867.59519686217,4.0,,Highway,Euro 4,Fair,,Truck,160.804668475337
2.0731287821579514,Diesel,20821.00007126399,8.0,Normal,Highway,Euro 4,Excellent,Medium,Truck,208.9203800171565
4.3680968722598035,CNG,8568.892913702322,10.0,,Urban,Euro 3,Fair,,Hatchback,142.3321024945578
2.254300528256123,Diesel,7557.052611147351,4.0,Aggressive,Urban,Euro 3,Poor,Medium,SUV,295.1936868584886
4.354818098135438,Hybrid,21178.933499543517,14.0,Normal,Urban,Euro 3,Excellent,High,Sedan,137.89305711251242
2.7142584504071685,LPG,15555.881260607324,6.0,Normal,Highway,Euro 3,Excellent,Medium,SUV,183.31835374132032
3.906343063305813,CNG,26448.020024764577,10.0,Aggressive,Urban,Euro 4,Excellent,Medium,Sedan,273.020310056875
3.0402409141765747,Petrol,6505.075790560017,13.0,Eco,Highway,Euro 6,Fair,Medium,SUV,
3.487850496523906,Petrol,9261.82321598479,6.0,Normal,Urban,Euro 3,,High,Sedan,260.5513604607354
2.5814260434455325,LPG,35281.67838872383,4.0,Aggressive,Highway,Euro 5,Fair,Low,SUV,205.6218411744274
4.072827071229963,Petrol,24820.90675316866,1.0,Normal,Mixed,Euro 4,Fair,High,Hatchback,86.99644898032749
2.7007575342946333,Hybrid,29921.90867919295,4.0,Aggressive,Urban,Euro 6,Excellent,Low,Sedan,278.64083623268925
2.8298465863432876,Diesel,34469.024154755345,,Normal,Highway,Euro 5,Excellent,Medium,Hatchback,88.62330380026347
,LPG,21234.202003251827,6.0,Aggressive,Mixed,Euro 4,Poor,High,Sedan,193.34791517968443
4.327296473543933,CNG,31637.113438861663,3.0,Aggressive,Mixed,Euro 4,Excellent,High,Sedan,90.78687420044984
3.6375157144058594,Diesel,23360.49526757335,0.0,Normal,Urban,Euro 5,Fair,Low,Sedan,95.6640216643896
2.396641546262999,Petrol,12796.206959579635,5.0,Eco,Highway,Euro 3,Poor,High,SUV,275.18494913673624
3.6812785359261713,Petrol,16817.965908032886,12.0,Normal,Urban,Euro 3,,High,Sedan,248.4816203317376
3.5697062920343092,CNG,22162.265436948128,14.0,Normal,Mixed,Euro 5,Fair,Low,Hatchback,123.32705811387612
4.724077103518818,Hybrid,16090.994326029477,13.0,Normal,Urban,Euro 6,Excellent,High,SUV,216.50295410713585
4.3656657441014,CNG,16743.469197246442,2.0,Eco,Highway,Euro 3,Excellent,High,SUV,
3.5897876950049925,LPG,16808.74909370682,10.0,Normal,Mixed,Euro 4,Good,Medium,Sedan,275.70994110071024
2.3660284427361744,CNG,9299.399259998647,4.0,Aggressive,Urban,Euro 4,Excellent,Medium,Truck,183.0275239046122
4.118305795445078,Petrol,7962.491252428797,3.0,Normal,Urban,Euro 6,Good,Medium,SUV,277.44997302826494
3.300833172251204,Hybrid,6627.361389195652,14.0,,Urban,Euro 4,Poor,Medium,Sedan,
4.941079952403607,Hybrid,8883.469136201787,12.0,Eco,Urban,Euro 3,Poor,Medium,Hatchback,231.41016927909203
1.9900245142792161,CNG,17029.748224746632,1.0,Normal,Urban,Euro 6,Poor,High,Truck,295.3864590735306
1.3186233637235478,LPG,25785.513202406997,11.0,Eco,Mixed,Euro 3,Good,High,SUV,131.90939362279587
,Petrol,11585.142452329314,14.0,Eco,Mixed,Euro 6,Fair,Medium,Truck,117.07468073814519
3.5601215534067214,Diesel,36080.30961009233,,Aggressive,Highway,Euro 5,Fair,Low,SUV,155.24414149513143
4.757040915646096,Hybrid,,13.0,Aggressive,Urban,Euro 4,Poor,Medium,Truck,116.16778499846806
1.0077276571660208,CNG,23218.44894832073,4.0,Eco,Highway,Euro 6,Good,High,Truck,142.5158172550723
3.9030841878311096,,30347.344078467595,14.0,,Mixed,Euro 5,Good,Low,Hatchback,243.45677114153287
3.6282607301317817,LPG,17821.498364456544,13.0,Normal,Urban,Euro 3,Poor,Medium,Truck,185.05528790268318
3.9292167688778634,Petrol,6287.222745658146,6.0,Normal,Highway,Euro 5,Excellent,Low,Hatchback,162.5090847888784
,,36651.64966363889,8.0,Normal,Urban,Euro 3,Poor,Medium,Sedan,161.11928116067446
4.28198577863142,Petrol,9472.772089023769,3.0,Normal,Urban,Euro 6,Good,High,SUV,122.79659447801171
1.1788277256754478,Diesel,,4.0,Normal,Highway,Euro 6,Excellent,Medium,Hatchback,178.43051994313896
,Diesel,25015.89058931385,8.0,Normal,Mixed,Euro 4,Fair,Low,SUV,217.41982291139877
2.068287765396351,Diesel,15694.707135750048,12.0,Normal,Highway,Euro 4,,High,Hatchback,110.61406359400922
2.907351099432286,,22343.361815914563,9.0,Normal,Highway,Euro 6,Fair,,,294.0188295234472
4.290545086228882,Hybrid,22557.043312308295,10.0,Normal,Highway,Euro 3,Good,Medium,Hatchback,177.5218588138814
2.085436140764548,Petrol,5815.047780490367,13.0,Aggressive,Urban,Euro 3,Poor,Medium,SUV,288.5514016853068
,Petrol,17441.094815944853,,Aggressive,Mixed,Euro 6,Poor,Medium,Sedan,109.62496385732075
3.725252741391537,Diesel,30895.302984002108,,Eco,Mixed,Euro 3,Poor,High,SUV,248.78750969798963
3.133579566027218,Hybrid,22852.42161327478,,Normal,Urban,Euro 6,Poor,High,Sedan,
3.057615474984738,Hybrid,13548.054095335447,12.0,Normal,Mixed,Euro 4,Poor,Medium,,260.4141062995416
2.0270780621516526,CNG,16728.845101293038,4.0,Eco,Highway,Euro 3,Good,High,Sedan,
1.1395212232801106,Hybrid,35206.903759058216,7.0,Normal,Mixed,Euro 4,Good,Low,,291.82405931341737
2.6410765533268674,Hybrid,23394.238455258033,14.0,Normal,Urban,Euro 5,Poor,High,SUV,217.92500280456866
1.426237921871072,Petrol,23492.324289293258,12.0,Normal,Mixed,Euro 4,Excellent,Low,Truck,252.61290757578297
4.623956602596809,Hybrid,38651.36106678535,14.0,Normal,Urban,Euro 5,Poor,Low,Truck,273.06798995734084
1.165001293886922,Hybrid,16230.848966282518,3.0,Normal,Highway,Euro 4,Fair,High,SUV,237.2083636663012
,Petrol,,3.0,Aggressive,Urban,Euro 4,Fair,Medium,Sedan,195.33206444389526
1.2089823348033115,Hybrid,33409.97592022919,12.0,Normal,Mixed,Euro 3,Fair,High,Truck,140.01975732795248
1.3821754982590653,Petrol,31561.92871104604,6.0,Normal,Highway,Euro 4,Fair,Low,Truck,267.98837494704725
3.635466667688088,CNG,14302.979767503539,10.0,Eco,Mixed,Euro 6,Poor,Low,Hatchback,185.72721559150924
3.588445043896378,LPG,10288.186666188503,4.0,Eco,Urban,Euro 3,,High,SUV,216.555809793713
1.1322087795177591,,29524.66016655789,5.0,Normal,Highway,Euro 3,Excellent,Low,Truck,97.42983833380237
1.0045259004834808,Petrol,14017.966188251818,5.0,Eco,Urban,Euro 3,Poor,High,SUV,189.41729108790696
1.315272308971136,Hybrid,37293.65399834844,11.0,Eco,Mixed,Euro 4,Fair,High,SUV,233.5946816843659
4.051995590847769,Petrol,9523.669289622914,5.0,Eco,Urban,Euro 3,Poor,Medium,Truck,208.4958201854294
3.3383058910060286,Diesel,16141.032004717179,13.0,Normal,Mixed,Euro 5,Poor,Low,SUV,178.6820683300551
,Diesel,6917.553642371982,9.0,Normal,Mixed,Euro 5,Poor,High,Sedan,129.15400968492722
2.952388063491309,CNG,29615.685740218232,4.0,Normal,Highway,Euro 4,Good,Low,Truck,148.12744401983508
3.8481174282178054,Petrol,36194.192712038945,12.0,Normal,Highway,Euro 3,Fair,High,Truck,234.13735879570623
4.475805578403225,Hybrid,27255.608456585247,12.0,Eco,Urban,Euro 6,Good,High,Truck,129.32195374466775
4.7361459626360425,Hybrid,37821.355542901925,4.0,Normal,Mixed,Euro 6,Excellent,Medium,Hatchback,216.779855367954
2.3097622518162666,LPG,9497.639247542338,8.0,Normal,Mixed,Euro 5,Excellent,High,Hatchback,209.7422747623647
1.5433297136530628,CNG,8070.687454194462,12.0,Normal,Highway,Euro 4,Good,Medium,Hatchback,293.49184546511003
1.9477036829257899,Hybrid,34344.44559085798,7.0,Aggressive,Highway,Euro 4,Fair,Low,Hatchback,93.37200534662738
4.104685968160895,LPG,34942.89113852777,14.0,Aggressive,Highway,Euro 4,Poor,Medium,Truck,103.78697360513353
4.885936860169243,Hybrid,34086.38344874949,3.0,Eco,Highway,Euro 4,Excellent,Medium,Sedan,191.33836244206654
2.865574469441522,LPG,32963.7715886811,6.0,Aggressive,,Euro 4,Excellent,Low,SUV,195.96416157779962
2.221412854191159,Diesel,17677.992737853107,7.0,Eco,Urban,Euro 3,Excellent,Medium,SUV,88.78408493713768
,Diesel,12611.17292569857,11.0,Aggressive,Urban,Euro 3,Fair,Medium,Truck,261.68819258907945
2.2192525785805297,Hybrid,37508.14069992265,8.0,Normal,Urban,Euro 3,Good,High,Sedan,188.83916958263706
,CNG,15745.006399691689,4.0,Normal,Highway,Euro 6,,Medium,SUV,156.26162426091634
3.3750030096287182,Petrol,18944.268875741127,2.0,Eco,Urban,Euro 3,Fair,,Sedan,150.1478295352727
1.0629439214941776,CNG,29484.56358080716,14.0,Eco,Urban,Euro 4,Excellent,Medium,Truck,269.50957994191987
2.0382089946599526,CNG,15267.462799789566,12.0,Normal,Urban,Euro 4,Fair,Low,Hatchback,123.28123061419967
3.645528311379956,Petrol,33669.55775463504,3.0,Aggressive,Highway,Euro 6,Fair,Low,Sedan,115.29189519517404
1.12825078522722,Diesel,7451.211827112344,14.0,,Mixed,Euro 6,Good,Medium,SUV,126.8992764291223
1.33280726603574,Diesel,32691.393358612706,9.0,Normal,Highway,Euro 5,Fair,High,SUV,217.504960483432
2.173584579143139,Petrol,26064.796291623144,5.0,Normal,Mixed,,Fair,Medium,SUV,258.40478823825003
4.51121919443594,LPG,,9.0,Normal,Mixed,Euro 5,Excellent,High,Hatchback,152.81531263339951
4.059544640661185,CNG,21043.196369853125,10.0,Eco,Urban,Euro 3,Poor,Medium,Sedan,118.16163958525883
1.088626517664974,Hybrid,14696.595869919784,4.0,,Urban,,Excellent,Low,,126.0227168782965
3.0068512667539675,Diesel,21242.45999009328,,Normal,Urban,Euro 5,Good,Low,SUV,216.22043127392723
2.098749975949667,Hybrid,20750.997920654056,12.0,Normal,Highway,Euro 5,Poor,High,Sedan,134.12774976713058
3.594582636248252,,25431.39660740745,10.0,Eco,Highway,Euro 5,Excellent,Medium,,273.0016508973007
3.886215530373845,Hybrid,14855.100004943559,10.0,Eco,,Euro 6,Fair,High,Sedan,102.85609797114907
4.4514503085171295,Hybrid,7715.845369165216,13.0,Eco,Highway,Euro 6,Fair,Low,Hatchback,87.12107748121444
2.901664948416057,CNG,10078.130632369839,2.0,Aggressive,Highway,Euro 6,Poor,High,Hatchback,99.44321411139887
4.977800354182338,Petrol,29471.21010115505,1.0,Eco,Mixed,Euro 5,Poor,Medium,Truck,266.0414864849905
4.919944429148437,Hybrid,5787.231537243917,5.0,Normal,Highway,Euro 3,Fair,High,Truck,223.27049432644543
,Diesel,34975.506562590046,12.0,Normal,Mixed,Euro 4,Good,Medium,Truck,290.7038192857951
3.2994779806322834,Petrol,29303.906461796967,6.0,Normal,Urban,Euro 6,Excellent,Medium,Sedan,153.98523907934668
2.59202575001526,Diesel,31883.028945770067,4.0,Eco,Highway,Euro 3,Fair,Low,Hatchback,126.78918816213388
2.45754524055914,LPG,34259.45571827162,0.0,Normal,,Euro 6,Excellent,,Hatchback,203.6345526490248
1.0484990003509793,Hybrid,9294.86553755634,2.0,Eco,Highway,Euro 6,Excellent,Medium,Hatchback,198.32222140788468
1.996697988969466,Petrol,33785.78818395232,2.0,Normal,Mixed,Euro 5,Excellent,Medium,SUV,
3.8752329397966583,Diesel,,11.0,Eco,Mixed,Euro 5,Excellent,High,Sedan,156.45744978527674
3.414528399572266,Hybrid,35993.3343563619,13.0,Normal,Highway,Euro 6,Good,,Sedan,81.29732680809309
4.665688756670134,CNG,36030.53103711202,3.0,Normal,Urban,,Good,High,Truck,87.7069636469357
,Diesel,5846.231531395957,13.0,Normal,Mixed,Euro 6,Good,High,SUV,226.04182151295282
1.6211064127093224,Diesel,18400.28254192386,9.0,Normal,Urban,Euro 4,Fair,Low,SUV,195.1167705942059
4.156975157408521,LPG,23423.957855284567,5.0,Normal,Highway,Euro 3,Fair,,Hatchback,260.6224771232802
2.434030524781335,CNG,28742.603142401567,4.0,Aggressive,Highway,Euro 6,Fair,High,Truck,146.09016893309533
1.4733813348715117,,15016.518633944688,0.0,Normal,Urban,Euro 4,Good,Medium,Sedan,259.4038921908585
4.985802020400357,CNG,13824.97912326283,14.0,Normal,Highway,Euro 3,Excellent,High,SUV,173.6081109593395
4.149001210677452,Diesel,18344.300168116657,5.0,Normal,Mixed,Euro 3,Good,Low,Hatchback,101.27364482019419
2.6349641470324903,LPG,22532.854211246307,13.0,,Urban,Euro 5,Fair,High,Sedan,295.1405437699527
4.293389907784562,Hybrid,38290.118099189465,13.0,Normal,Highway,Euro 3,Poor,Medium,Hatchback,192.6259044120144
3.7224154804766134,CNG,31673.796334410312,8.0,Normal,Highway,Euro 5,Fair,High,Sedan,218.4852730717162
4.159899038279333,,20026.240842819687,10.0,Eco,Urban,Euro 3,Excellent,Low,Hatchback,227.57538102770494
4.260825510262599,Petrol,6902.816245406431,0.0,Eco,Mixed,Euro 3,Good,Medium,Sedan,159.73069548991373
1.3389147331612716,CNG,10898.220725031577,7.0,Eco,Urban,Euro 4,Poor,High,Truck,244.4562303696702
3.4918915507523827,CNG,20957.354851179596,7.0,Eco,Highway,Euro 4,Poor,Low,Sedan,271.4586223772238
1.0271422119073104,Hybrid,33483.90650345465,2.0,Normal,Highway,Euro 5,Excellent,Low,Sedan,165.18113481104893
1.1738249852046825,CNG,18324.343748707037,14.0,Aggressive,Urban,Euro 6,Good,High,Sedan,224.5401950589406
4.615920036223363,CNG,23847.38277607709,12.0,Normal,Mixed,Euro 4,Poor,High,Hatchback,246.5672412749861
3.110254885427222,Hybrid,36213.17101297858,8.0,Aggressive,Mixed,Euro 3,Fair,Medium,SUV,121.82769749159789
3.9436079434740994,,36982.86907993201,10.0,Aggressive,Mixed,Euro 5,Excellent,High,Sedan,153.17113856711285
4.354003961772584,LPG,12552.124875494128,12.0,Aggressive,Urban,Euro 5,Poor,Medium,Sedan,103.93508620381007
4.79834707025834,Diesel,,12.0,Aggressive,Mixed,Euro 5,Excellent,High,Truck,
4.4774113916911835,Diesel,15689.368584003023,10.0,Normal,Mixed,Euro 3,Good,Low,Sedan,256.20629308058835
2.9332457947891757,LPG,29353.081018902307,7.0,Eco,Mixed,Euro 4,Good,Low,Truck,214.3845044486854
2.343881229522046,Diesel,38288.927034169326,2.0,Normal,Mixed,Euro 6,Good,Low,Sedan,119.55244281494967
1.6179729448241527,,7696.119999443987,9.0,Normal,Highway,Euro 5,Fair,Low,Hatchback,200.2010680257502
2.60128592994912,,5996.933369224503,,Aggressive,Urban,Euro 3,Poor,,SUV,263.6855126758101
2.4659743166446537,LPG,35945.15245450026,2.0,Aggressive,Urban,Euro 4,Good,Low,SUV,146.59945513720822
3.2382993678234935,Diesel,31185.084418609942,4.0,Normal,Mixed,Euro 4,Fair,Medium,SUV,263.1833304955809
3.6620376350288537,Petrol,39728.70027044514,8.0,Normal,Urban,Euro 6,Good,Medium,Hatchback,252.61712242939737
4.913301905780189,Diesel,18887.75085129786,14.0,Eco,Urban,Euro 5,Good,Medium,Truck,84.78297772406847
3.91354474440293,Petrol,19561.781679786927,11.0,Eco,Highway,Euro 3,Poor,High,SUV,132.68005909881043
3.574994129771693,LPG,11030.914305410735,3.0,Normal,Urban,Euro 4,Fair,Medium,Hatchback,199.44732927549967
2.3403697370733703,Petrol,9054.650340906846,5.0,Normal,Highway,Euro 3,Good,High,Hatchback,237.87582140423706
1.138015505993304,CNG,25255.130370658328,2.0,Aggressive,Urban,Euro 4,Fair,Medium,Sedan,273.7167156436224
2.152500515418767,Hybrid,17749.975045319137,2.0,Normal,Highway,Euro 5,Fair,High,Truck,
4.0737916018384706,Petrol,7811.075678083577,4.0,Aggressive,Highway,Euro 5,Good,High,Hatchback,163.6757176748986
1.821087763215207,Hybrid,36044.5474333162,7.0,Normal,Urban,Euro 6,Good,Low,Truck,120.61798548220938
3.848752774696458,CNG,11942.476388726656,13.0,Aggressive,Highway,Euro 4,Excellent,Medium,SUV,247.20788820173493
3.3191193702776634,Hybrid,31200.45214512365,7.0,Eco,Highway,Euro 3,Poor,High,SUV,125.49194305130644
1.6874274790018595,CNG,,2.0,Aggressive,Urban,Euro 4,Good,Low,SUV,
2.0464992251673197,Hybrid,33451.66907634797,7.0,Normal,Highway,Euro 3,Excellent,Medium,Sedan,119.86655582166563
2.985214413945906,Hybrid,9143.889449967892,12.0,Eco,Highway,Euro 6,Poor,Low,Sedan,100.03184706808219
2.67349882043139,Diesel,31462.506357761653,10.0,,Highway,Euro 4,,High,Truck,135.2420492154376
4.114255390187038,Petrol,8434.160586517935,12.0,Aggressive,,Euro 5,Fair,Low,Truck,142.68455721552513
3.937618570172988,Hybrid,20642.052574993017,7.0,Eco,Highway,,Poor,Low,Sedan,
3.2982980138920683,LPG,30690.15227098616,2.0,Normal,Mixed,Euro 5,Fair,Medium,Hatchback,115.39434090325295
4.289098845891701,Diesel,11062.64334154152,9.0,Normal,Highway,Euro 6,Excellent,High,Truck,284.6675208571154
3.2506781627372345,Petrol,14998.274609635304,14.0,Normal,Highway,Euro 6,Good,Medium,Truck,201.95957099530017
4.85755702662904,Diesel,35266.84472322692,12.0,Aggressive,Highway,Euro 3,Excellent,Medium,SUV,188.0049807796224
1.8688963966043257,Petrol,35979.17623176761,14.0,Normal,Highway,Euro 4,Good,Low,Truck,175.6327931478409
3.856527974408611,CNG,,,Normal,Urban,Euro 5,Good,High,Truck,204.65229632904203
2.479776528217872,Hybrid,10883.170487354135,1.0,Aggressive,Mixed,Euro 5,Fair,Medium,Hatchback,84.9383327755921
2.1158647776807755,LPG,9111.517909550064,9.0,Normal,Urban,Euro 3,Excellent,High,Truck,297.8190024073981
1.7215499038708515,Diesel,11289.258312795606,,Aggressive,Mixed,Euro 3,Fair,Medium,Hatchback,202.65536276273852
3.2100139050461753,Diesel,38956.570350719536,,Normal,Highway,Euro 3,Fair,Low,SUV,87.74290047083912
1.861877730996845,Diesel,24307.933707665976,6.0,Normal,Highway,Euro 6,Fair,Medium,Sedan,209.79507303391196
1.8014034057936237,Diesel,21383.93366592244,5.0,Normal,Mixed,Euro 6,Excellent,Medium,SUV,
4.962127620335272,Hybrid,39456.35805824157,6.0,Normal,Mixed,,Good,Medium,Hatchback,85.28829326660995
4.206989667383043,Petrol,24493.46454512574,7.0,Eco,Urban,Euro 4,Good,High,Hatchback,283.374325474644
3.9931072810175015,Hybrid,28139.12745709336,11.0,Normal,Mixed,Euro 3,Excellent,,Truck,82.32471185623893
4.17624250353102,CNG,16646.969111721308,0.0,Eco,Highway,Euro 6,Good,High,Truck,207.1317689131207
4.87569149487497,Hybrid,18374.020257833152,7.0,Normal,Urban,,Excellent,Medium,Sedan,291.5939644777693
3.293106755012814,Hybrid,25804.328433317558,2.0,Aggressive,Mixed,Euro 3,Excellent,Low,Hatchback,132.2729893362657
1.8809755096114422,CNG,7442.5024400162665,2.0,Eco,Mixed,Euro 4,Good,High,Hatchback,135.91939633359127
4.448838563012956,Hybrid,13955.90101156713,5.0,Normal,Urban,Euro 3,Poor,Medium,SUV,80.09308828323353
3.9709229178163605,Petrol,11888.41123111075,3.0,Aggressive,Mixed,Euro 4,Fair,Low,Sedan,94.5972578373558
2.6572332493366924,LPG,5556.268759900126,3.0,Normal,Highway,Euro 5,Excellent,Low,SUV,
2.8942779942985855,CNG,23791.544468214768,3.0,Normal,Urban,Euro 3,Excellent,Medium,Truck,260.98438241145357
2.6450095939154763,Diesel,24636.849383335768,9.0,Aggressive,Mixed,Euro 3,Poor,Low,Truck,264.0822653878822
4.7197686409160164,Petrol,18437.87280630406,8.0,Aggressive,Highway,Euro 5,Excellent,Low,SUV,239.874018520595
2.3741264459931766,LPG,14405.46143126768,,Normal,Mixed,,Excellent,High,Truck,157.60390275376028
4.85393711462469,Petrol,27822.09565981187,2.0,Eco,Urban,Euro 3,,Low,SUV,260.67597897554526
4.6410870850157995,Petrol,9713.07064845599,0.0,Eco,Mixed,Euro 6,Good,,Hatchback,198.75039445343404
3.5220845689926934,Diesel,23151.526107236692,0.0,Normal,Mixed,Euro 5,Poor,High,Hatchback,146.94826082558313
3.3192870924002986,LPG,31882.5895033717,,Normal,Mixed,Euro 6,Excellent,High,Truck,176.20088920516588
